,profile_id,starts_at,ends_at,title,description,company,location
79,18,2020-03-01,2021-06-30,Team Member,"Team Technospark is Offroad Racecar Team at Dr. Babasaheb Ambedkar Technological University, Lonere Raigad.- Participating in BAJA SAE INDIA 2021",Team Technospark,"Raigad, Maharashtra, India"
80,18,2021-01-01,2021-04-30,Student Community manager,,Board Infinity,Work from home
81,18,2019-04-01,2019-05-31,Intern,One month students trainee.,All India Radio,"Akola, Maharashtra, India"
82,19,2019-08-01,,Student,,Roorkee Institute of Technlogy,"Roorkee, Uttarakhand, India"
83,19,2020-08-01,2020-11-30,Social Media engagement,,Digital jugaad service,"Patna, Bihar, India"
84,20,2021-07-01,,Associate Software Engineer,,Bosch Engineering and Business Solutions,"Coimbatore, Tamil Nadu, India"
85,20,2020-03-01,2021-03-31,"Technical Consultant, IEEE - SB, NIT Calicut",,IEEE,"Kozhikode, Kerala, India"
86,20,2019-03-01,2020-03-31,"Project Head, IEEE - SB, NIT Calicut",,IEEE,"Calicut Area, India"
87,20,2018-03-01,2021-03-31,Senior Executive,,Club Mathematica,"Calicut Area, India"
88,20,2019-11-01,2019-12-31,Trainee,Worked under Dr. B K Panigrahi on DC-DC converters and its application for maximum power point tracking of PV Array.,"Indian Institute of Technology, Delhi","New Delhi Area, India"
89,21,2021-07-01,2021-08-31,Data Analytics Consultant,,KPMG,
90,21,2019-07-01,2020-07-31,Associate Software Engineer,,JMR Infotech,"Bangalore Urban, Karnataka, India"
91,21,2019-01-01,2019-02-28,Software Developer,,TechCiti Technologies Private Limited,"Bengaluru, Karnataka, India"
92,22,2021-09-01,,Data scientist,,Beewant,
93,22,2021-04-01,2021-06-30,Intern in Computer Vision and Machine learning for precision agriculture,,Drone’s Technology (DT Rabat),"Rabat, Rabat-Salé-Kénitra, Maroc"
94,23,2021-06-01,2021-06-30,Sale and Marketting,,MyCaptain,"Pune, Maharashtra, India"
95,24,2020-09-01,,Software Engineer,,Yum! Brands,"Plano, Texas, United States"
96,24,2018-04-01,2020-09-01,Software Engineering Manager,"- Identified and led multiple cloud modernization efforts, generating millions in revenue by developing a migration strategy that addressed current system pain points- Reduced maintenance costs by 25%% through designing services around serverless and microservice patterns- Led 3 teams of 12 developers, increasing their velocity by 10%% QoQ by removing development roadblocks and prioritizing technical debt",Pariveda Solutions,Dallas/Fort Worth Area
97,24,2016-03-01,2018-03-01,Senior Full Stack Mobile Developer,"- Setup a new cloud CI/CD pipeline for an on-prem VR experience, reducing install times by over 90%% through using TravisCI and custom scripts- Developed a cloud-based real-time leaderboard API able to consume 100+ requests per second by following data lake best-practices- Trained and led a team of 12+ developers on Swift and increased team velocity by 15%% by enabling the refactor from a legacy Xamarin.iOS app to a new native iOS app",Pariveda Solutions,Dallas/Fort Worth Area
98,24,2014-08-01,2016-03-01,Full Stack Mobile Developer,"- Developed a mobile app for a national health services company, cutting call-center response times by 99%% by automating doctor recommendations and cost estimates- Created intellectual capital that reduced the time to create a new mobile app by 75%% through a re-useable, internal mobile framework that followed best practices",Pariveda Solutions,Dallas/Fort Worth Area
99,24,2012-10-01,2014-07-01,Mobile Developer,"- Increased team velocity by 15%% and reduced defect rate by 20%% through introducing test-driven development, MVVM, and the active record pattern- Built 9 separate mobile applications across 3 industries by using Objective-C and Java",mCubed Labs,"Lehi, UT"
100,24,2012-04-01,2012-10-01,Business Analyst,"- Saved nearly $3,000 monthly in developer time-savings by researching and documenting comprehensive requirements- Increased employee productivity by 6%% by implementing agile best-practices",The Church of Jesus Christ of Latter-day Saints,"Riverton, Utah, United States"
101,25,2021-07-01,,looking for internship,,Unemployed Graduates / Internships,
102,26,2020-05-01,,Co-Founder,"Deltologic is a software development agency, focused on improving everyday life through automation and digitalisation.Our greatest strength lies in an individual, client-centric approach and tailor-made, personalised solutions. We understand that your business has a unique set of traits and needs that identical, off-the-shelf products cannot answer.Feel free to reach out and book a free consulting session - we will examine your business and find the best solution to your problem.",Deltologic,"Berlin, Germany"
103,26,2019-09-01,2020-08-31,Software Engineer,- Developed Open Source Command Line Tool for Lightspeed's CI/CD testing pipeline on Gitlab using Python.- Developing a robust Test Automation Framework to integrate E2E tests for our product into CI/CD.- Providing a highly reliable testing infrastructure on macOS and Linux.- Created multiple End to End automated tests using Lightspeed's custom testing framework.,Lightspeed HQ,"Rejon Berlin, Niemcy"
104,26,2018-10-01,2019-09-30,Software Engineer,"- Working on multiple Web Apps as a Backend Engineer. (Python, Django, AWS, Docker)- Created GraphQL API for Skwire's web app ""Tech first real estate investment"".",Kivy Software sp. z o.o.,"Poznań, woj. wielkopolskie, Polska"
105,26,2018-07-01,2018-10-31,Software Engineer,"- Internship in SKIDATA company in Austria (Salzburg).- Created Web Service which aggregates data and allows users to download reports about SKIDATA's clouds- Handled DevOps tasks. (Deployment Web App on EC2 with a PostgreSQL database)- Used Python with Django Framework and created REST API.- Created design and frontend with HTML 5 CSS, Bootstrap",SKIDATA AG,Salzburg
106,27,2021-08-01,,Software Developer,,Thoughtworks,"Denver, Colorado, United States"
107,27,2021-01-01,2021-04-30,Software Engineering Student,,General Assembly,"St Louis, Missouri, United States"
108,27,2019-09-01,2020-12-31,Digital Advertising Technical Specialist,,Accenture,"Denver, Colorado, United States"
109,27,2017-11-01,2019-04-30,Communications Specialist,,Global Fiberglass Solutions,"Bothell, Washington"
