,profile_id,starts_at,ends_at,field_of_study,degree_name,school,description
84,41,2015-01-01,2017-12-31,Computer Engineering,Diploma,Pimpri Chinchwad Polytechnic,Majored in following subjects :* Object Oriented Programming using C++* Data Structures using C* Relational Database Management System* Operating System* Digital Techniques* Java Programming* Computer Networks* Software Testing* Software Engineering* Computer Graphics* Computer Hardware & Maintenance* MicroprocessorsThis course introduced the fundamentals of Computer Engineering.
85,41,2013-01-01,2015-12-31,Science,HSC,Vidya Bhavan Junior College,
86,41,2012-01-01,2013-12-31,First Class Distinction,SSC,St. Joseph's Boys'​ High School Pune,
87,42,2018-01-01,2022-12-31,,Bachelor of Technology - BTech,Jaypee Institute Of Information Technology,
88,42,2015-01-01,2017-12-31,Physics Chemistry and Maths,12th,"Loreto Convent Intermediate College, Lucknow",
89,42,2005-01-01,2015-12-31,Mathematics and Computer Science,High School,Stella Maris College,
90,43,2011-01-01,2012-12-31,,Master's Degree,Temple University,
91,43,2007-01-01,2011-12-31,,B.E.,Dharmsinh Desai Institute of Technology,
92,44,2005-01-01,2009-12-31,Political Science and Government,Bachelor of Arts - BA,Stanford University,
93,45,2018-01-01,2022-12-31,Information Technology,Bachelor of Technology - BTech,BIT Sindri,
94,46,2015-01-01,2019-12-31,Computer science and engineering,Bachelor of Technology (B.Tech.),Thapar Institute of Engineering & Technology,
95,46,2012-01-01,2014-12-31,Science,Intermediate Degree,"Smt. Draupadi Devi Tripathi Mahavidyalaya, Rudrapur, Khajani, Gorakhpur",
96,46,2010-01-01,2012-12-31,8.8,High School,"Central Academy,Gorakhpur",
97,47,2010-01-01,2013-12-31,Computer Science and Engineering,Bachelor's Degree,N. K. Orchid College of Engineering and Technology,
98,47,2007-01-01,2010-12-31,Computer Engineering,Diploma,V.V.P. Polytechinc,
99,48,,,,,,
100,49,2011-01-01,2014-12-31,"Computer Programming, Specific Applications",Master’s Degree,National Institute of Technology Karnataka,MCA Graduate with internship from Polaris Financial Technology(Present-Polaris Financial Services).
101,49,2008-01-01,2011-12-31,"Computer Programming, Specific Applications",Bachelor’s Degree,Extol institute of Computer Science,BCA graduate
102,49,2005-01-01,2007-12-31,"Physics,Chemistry,Mathematics",High school,"Saraswati shishu mandir, Bina",
